kode_ba;kode_akun;kode_kab;blokir;kontrak;realisasi;bulan;tahun
'054;52;1311;689246000;0;218482636;Mei;2023
'056;51;1306;0;0;111314302;Mei;2023
'056;51;1311;0;0;70994358;Mei;2023
'056;52;1306;69135000;0;373808452;Mei;2023
'056;52;1311;0;0;206391031;Mei;2023
'056;53;1306;0;418806000;13000000;Mei;2023
'056;53;1311;0;1320248000;0;Mei;2023
'060;51;1306;0;0;3274737226;Mei;2023
'060;51;1311;0;0;1446676233;Mei;2023
'060;52;1306;0;801767695;1393744832;Mei;2023
'060;52;1311;0;594082500;889659024;Mei;2023
'060;53;1306;0;0;14568750;Mei;2023
'060;53;1311;0;1122406740;1057163770;Mei;2023
'075;51;1306;0;0;81136935;Mei;2023
'075;52;1306;26380000;0;82682645;Mei;2023
'075;53;1306;0;0;0;Mei;2023
'076;51;1306;0;0;145889921;Mei;2023
'076;51;1311;0;0;149173536;Mei;2023
'076;52;1306;0;0;3879993750;Mei;2023
'076;52;1311;0;0;733925370;Mei;2023
'076;53;1306;0;0;0;Mei;2023
'076;53;1311;0;0;0;Mei;2023
115;51;1306;0;0;90930743;Mei;2023
115;52;1306;93398000;0;1226511397;Mei;2023
115;53;1306;36036000;0;0;Mei;2023
999;61;1306;0;0;0;Mei;2023
999;61;1311;0;0;0;Mei;2023
999;62;1306;0;0;50977419000;Mei;2023
999;62;1311;0;0;26108062000;Mei;2023
999;63;1306;0;0;0;Mei;2023
999;63;1311;0;0;0;Mei;2023
999;64;1311;0;0;0;Mei;2023
999;65;1306;0;0;1556856178;Mei;2023
999;65;1311;0;0;54025000;Mei;2023
999;66;1306;0;0;25532639100;Mei;2023
999;66;1311;0;0;907137300;Mei;2023
'005;51;1306;0;0;802994611;Juni;2023
'005;52;1306;0;23333360;256611997;Juni;2023
'005;53;1306;0;0;0;Juni;2023
'006;51;1306;0;0;602721037;Juni;2023
'006;52;1306;0;0;255816950;Juni;2023
'006;53;1306;0;0;0;Juni;2023
'013;51;1306;0;0;772289118;Juni;2023
'013;52;1306;0;2768451165;1654173279;Juni;2023
'013;53;1306;0;0;0;Juni;2023
'015;51;1306;0;0;92370000;Juni;2023
'015;52;1306;0;0;841556247;Juni;2023
'015;53;1306;0;0;0;Juni;2023
'022;51;1306;0;0;1082511665;Juni;2023
'022;52;1306;0;0;722721385;Juni;2023
'022;53;1306;0;11122984683;6313748400;Juni;2023
'023;51;1306;0;0;1589690897;Juni;2023
'023;52;1306;0;0;1491159145;Juni;2023
'023;53;1306;0;0;69183403;Juni;2023
'025;51;1306;0;0;3006762402;Juni;2023
'025;51;1311;0;0;1205445566;Juni;2023
'025;52;1306;0;0;746260782;Juni;2023
'025;52;1311;0;0;239948857;Juni;2023
'025;53;1306;0;0;16500000;Juni;2023
'025;53;1311;0;0;0;Juni;2023
'029;51;1306;0;0;671036125;Juni;2023
'029;52;1306;30315000;0;392734165;Juni;2023
'029;53;1306;0;55999373;0;Juni;2023
'032;51;1311;0;0;237840064;Juni;2023
'032;52;1311;298165000;231266560;473366643;Juni;2023
'032;53;1311;0;0;252831750;Juni;2023
'054;51;1306;0;0;442824103;Juni;2023
'054;51;1311;0;0;292728148;Juni;2023
'054;52;1306;753022000;0;1946771223;Juni;2023
'054;52;1311;689246000;0;493952050;Juni;2023
'056;51;1306;0;0;244903779;Juni;2023
'056;51;1311;0;0;138894608;Juni;2023
'056;52;1306;69135000;0;282638732;Juni;2023
'056;52;1311;0;0;433127081;Juni;2023
'056;53;1306;0;418806000;0;Juni;2023
'056;53;1311;0;1320248000;78800000;Juni;2023
'060;51;1306;0;0;5502371363;Juni;2023
